store_id,sku_id,optimal_price,expected_revenue,expected_demand
S01,SKU001,9.441,227.43524613763023,24.090164827627394
S01,SKU002,12.392000000000001,553.8922428095178,44.69756639844398
S01,SKU003,17.592,614.7404635802559,34.94431921215643
S02,SKU001,9.441,239.49471758832652,25.367515897503072
S02,SKU002,13.941000000000003,654.9761451806876,46.98200596662273
S02,SKU003,19.791,606.0067727981702,30.620320994298936
S03,SKU001,12.588000000000005,286.46490107345966,22.756982926077182
S03,SKU002,12.392000000000001,668.2157741924948,53.92315802069841
S03,SKU003,17.592,632.5707796786232,35.957866057220514
S04,SKU001,9.441,348.9116139725293,36.95706111349744
S04,SKU002,12.392000000000001,1023.6707200640269,82.60738541510868
S04,SKU003,17.592,1073.0829235820547,60.99834717951653
S05,SKU001,9.441,416.9694456521657,44.165813542227056
S05,SKU002,12.392000000000001,730.6320687576995,58.95997972544379
S05,SKU003,19.791,1009.4505164844978,51.00553365087655
